"Subject" "Activity_Labels" "ave_tGravAccMag_mean" "ave_tGravAccMag_std"
1 "WALKING" -0.136971176556842 -0.219688645631579
1 "WALKING_UPSTAIRS" -0.129927630735849 -0.324970929245283
1 "WALKING_DOWNSTAIRS" 0.0271882914106122 0.0198843506265306
1 "SITTING" -0.948536786170213 -0.927078418723404
1 "STANDING" -0.984278207358491 -0.981942928867925
1 "LAYING" -0.8419291525 -0.79514486386
2 "WALKING" -0.290407593728814 -0.422544169322034
2 "WALKING_UPSTAIRS" -0.107322679520833 -0.205977045295833
2 "WALKING_DOWNSTAIRS" 0.0899511204978723 0.215586334889362
2 "SITTING" -0.967893623913043 -0.953081444130435
2 "STANDING" -0.965875181296296 -0.957874965
2 "LAYING" -0.977435485208333 -0.972873912916667
3 "WALKING" -0.254690333275862 -0.328428936551724
3 "WALKING_UPSTAIRS" -0.184014895 -0.333597432542373
3 "WALKING_DOWNSTAIRS" -0.0628126118283674 -0.0411340078469388
3 "SITTING" -0.895383350192308 -0.8703017
3 "STANDING" -0.925430819016393 -0.915143303606557
3 "LAYING" -0.972791346129032 -0.964218176451613
4 "WALKING" -0.312050574166667 -0.527679103166667
4 "WALKING_UPSTAIRS" -0.153703935357692 -0.212012300480769
4 "WALKING_DOWNSTAIRS" -0.0491616726733333 -0.0819559041111111
4 "SITTING" -0.93569482 -0.9144078448
4 "STANDING" -0.906478051785714 -0.890976683392857
4 "LAYING" -0.954557603148148 -0.931292216611111
5 "WALKING" -0.158338674394643 -0.377178733392857
5 "WALKING_UPSTAIRS" 0.0435562021989362 -0.136736383765957
5 "WALKING_DOWNSTAIRS" 0.211138853638298 0.205422375957447
5 "SITTING" -0.9379783225 -0.920939027727273
5 "STANDING" -0.906104701071429 -0.87977380125
5 "LAYING" -0.966777882884615 -0.958612786346154
6 "WALKING" -0.166840713631579 -0.266734167368421
6 "WALKING_UPSTAIRS" 0.0177790974433333 -0.0791508842176471
6 "WALKING_DOWNSTAIRS" 0.333754731458333 0.373611914166667
6 "SITTING" -0.949543531272727 -0.931572655636364
6 "STANDING" -0.945022876491228 -0.939310249649123
6 "LAYING" -0.918878850824561 -0.897326245964912
7 "WALKING" -0.0978090439438596 -0.198554708385965
7 "WALKING_UPSTAIRS" -0.198074437978431 -0.33474460745098
7 "WALKING_DOWNSTAIRS" 0.0198795285851064 0.214544028088723
7 "SITTING" -0.918432107083333 -0.881957619770833
7 "STANDING" -0.942724659245283 -0.933590156792453
7 "LAYING" -0.936392023846154 -0.907039513153846
8 "WALKING" 0.0516786278104167 -0.1804072826
8 "WALKING_UPSTAIRS" 0.121026629195122 -0.227200254219512
8 "WALKING_DOWNSTAIRS" 0.176599311818421 0.131337867236842
8 "SITTING" -0.952139704347826 -0.929943615630435
8 "STANDING" -0.953762884074074 -0.937187185222222
8 "LAYING" -0.935308633888889 -0.91325033
9 "WALKING" -0.0980840496143461 -0.37942877
9 "WALKING_UPSTAIRS" -0.260727581428571 -0.400222037142857
9 "WALKING_DOWNSTAIRS" 0.145886357935714 0.265120131365238
9 "SITTING" -0.8933617176 -0.8637564342
9 "STANDING" -0.945167482444444 -0.936105010444444
9 "LAYING" -0.9308684376 -0.91512680016
10 "WALKING" -0.127400912069811 -0.185602396067925
10 "WALKING_UPSTAIRS" -0.0266623294757447 -0.211537480214383
10 "WALKING_DOWNSTAIRS" 0.250843769394737 0.156998205421053
10 "SITTING" -0.96075719962963 -0.939669591481481
10 "STANDING" -0.951988907954545 -0.937264537954545
10 "LAYING" -0.956781819655172 -0.940301654482759
11 "WALKING" -0.288323472033898 -0.487735915084746
11 "WALKING_UPSTAIRS" -0.132594623759259 -0.289592148148148
11 "WALKING_DOWNSTAIRS" 0.126227657258696 0.0507743652521739
11 "SITTING" -0.961970763773585 -0.944581826415094
11 "STANDING" -0.984853836595745 -0.98030536893617
11 "LAYING" -0.980621180175439 -0.972891829473684
12 "WALKING" -0.102204550448 -0.23697286882
12 "WALKING_UPSTAIRS" -0.229183927115385 -0.285844036153846
12 "WALKING_DOWNSTAIRS" 0.0183139429630435 0.0972608274652174
12 "SITTING" -0.952176621372549 -0.947517100196078
12 "STANDING" -0.941459935081967 -0.935232945245902
12 "LAYING" -0.9482046755 -0.936542686833333
13 "WALKING" -0.135643867842105 -0.292546377017544
13 "WALKING_UPSTAIRS" -0.10115350174 -0.326339622181818
13 "WALKING_DOWNSTAIRS" -0.0294634299553191 -0.0156098198829787
13 "SITTING" -0.957690563673469 -0.937935738571429
13 "STANDING" -0.971564243157895 -0.968519673859649
13 "LAYING" -0.960517768225806 -0.947944746612903
14 "WALKING" -0.144404671779661 -0.36380562779661
14 "WALKING_UPSTAIRS" 0.140108204051852 -0.0197686685018519
14 "WALKING_DOWNSTAIRS" 0.185537706866667 0.428405922622222
14 "SITTING" -0.944197943703704 -0.92549582962963
14 "STANDING" -0.943456847333333 -0.936735577166667
14 "LAYING" -0.905978250196078 -0.856593119215686
15 "WALKING" -0.186514650759259 -0.323878324074074
15 "WALKING_UPSTAIRS" -0.000971394711666667 -0.136552217494583
15 "WALKING_DOWNSTAIRS" 0.320449387166667 0.353204008095238
15 "SITTING" -0.958669836271186 -0.93797790559322
15 "STANDING" -0.961207616226415 -0.948600432641509
15 "LAYING" -0.955340661527778 -0.943314107916667
16 "WALKING" -0.258766694117647 -0.47180926745098
16 "WALKING_UPSTAIRS" -0.233990331568627 -0.334795080196078
16 "WALKING_DOWNSTAIRS" 0.191079793587447 0.119183740638298
16 "SITTING" -0.961879680724638 -0.941051236086957
16 "STANDING" -0.969948825128205 -0.95729449448718
16 "LAYING" -0.961834634857143 -0.957895927714286
17 "WALKING" -0.151151487704918 -0.461837866885246
17 "WALKING_UPSTAIRS" -0.0128062276916667 -0.1028777303875
